0,1,2,3,4,5,6,7
1,1,1,4,25,1,2023-04-05 19:52:03,
2,1,2,1,250,2,2023-04-10 12:59:10,2023-04-16
3,1,2,1,20,3,2023-04-10 13:12:09,2023-04-16
4,9,2,2,20,4,2023-04-10 15:16:41,2023-04-11
5,9,2,2,20,5,2023-04-10 15:17:30,2023-04-11
6,16,2,36,10,6,2023-04-10 15:20:53,2023-04-11
7,20,2,34,5,7,2023-04-10 15:29:53,2023-04-14
8,20,2,34,5,8,2023-04-10 15:30:48,2023-04-14
9,20,2,34,5,9,2023-04-10 15:32:20,2023-04-14
10,20,2,34,5,10,2023-04-10 15:34:09,2023-04-14
11,20,2,34,5,11,2023-04-10 15:34:20,2023-04-14
12,20,2,34,5,12,2023-04-10 15:35:01,2023-04-14
13,20,2,34,5,13,2023-04-10 15:35:21,2023-04-14
14,20,2,34,5,14,2023-04-10 15:35:31,2023-04-14
15,1,2,2,10,15,2023-04-10 15:36:34,2023-04-11
